"","WKT","nombre","nombre_ev","clasificac","patio_de_j","apadrinada","observacio","fuente_geo","fuente_ins","ubicacion","decreto","fecha_decr","ordenanza_","fecha_orde","boletin_of","fecha_bole","BARRIO","COMUNA","Fech_padri","Vig_padri","Alc_conven","nom_mapa","id_ev_pub","area","perimeter","DGEV_Padri","Mant_2017","TAREAS","ESTADO","SUP_TOTAL","Canil","Posta_aero"
"1","MULTIPOLYGON (((-58.3689918536192 -34.6184934473487,-58.3688643148539 -34.6184813574439,-58.3688473927284 -34.618651033886,-58.3688298079639 -34.6187700374027,-58.368796340401 -34.618934381396,-58.3687692124776 -34.6190605005415,-58.3687746981789 -34.6190617670672,-58.3688130029734 -34.6189154596915,-58.3688562376679 -34.6187845742099,-58.3689149540801 -34.6186447743344,-58.3689685104794 -34.6185339132455,-58.3689918536192 -34.6184934473487)))","","SIN NOMBRE","PLAZOLETA","NO","","ESPACIOS VERDES","USIG","USIG","PASEO COLON, AV.  E/ ESTADOS UNIDOS Y CALVO, CARLOS","","","","","","","SAN TELMO",1,"","","","",243,265.927,20,"","","","",NA,"",""
"2","MULTIPOLYGON (((-58.3701467078581 -34.6065379723787,-58.3701964077359 -34.6055977734388,-58.3701828546132 -34.6054918197282,-58.3701812384255 -34.6054893840578,-58.3701785421794 -34.6054876688854,-58.3701752152658 -34.6054869450456,-58.3701718869522 -34.6054874835094,-58.3701690970675 -34.6054891043569,-58.3701672957029 -34.6054914472711,-58.3701669344497 -34.6054927994665,-58.3701669320493 -34.6054949634157,-58.370167829231 -34.6054969477179,-58.3701180859747 -34.60615186579,-58.370094301007 -34.6062698732211,-58.3700556789117 -34.6063852546064,-58.3700445871482 -34.6064115742507,-58.3700421490745 -34.6064203183666,-58.3700358937878 -34.6064648549342,-58.3700357037926 -34.6064739614157,-58.3700361505842 -34.6064765765287,-58.3700375845043 -34.6064811760129,-58.3700409065484 -34.6064863179186,-58.3700431522261 -34.6064888442332,-58.3700615712542 -34.6065055386724,-58.3701051574854 -34.6065364982193,-58.3701242126164 -34.6065473324321,-58.3701272694535 -34.6065483265621,-58.3701305068698 -34.6065486896768,-58.3701337447865 -34.6065486019687,-58.3701368934642 -34.6065478830406,-58.370139772824 -34.606546713085,-58.3701422930267 -34.6065450018693,-58.3701443639327 -34.6065429296542,-58.3701458055634 -34.606540586468,-58.3701467078581 -34.6065379723787)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","ALEM, LEANDRO N., AV.  E/ MITRE, BARTOLOME Y PERON, JUAN DOMINGO, TTE. GRL.","","","","","","","SAN NICOLAS",1,"","","","",256,591.237,9970,"","","","",NA,"",""
"3","MULTIPOLYGON (((-58.3702632358704 -34.6043768146198,-58.3702705499153 -34.6042693439058,-58.3702695647056 -34.6042656464091,-58.3702676799272 -34.6042621285602,-58.3702648952807 -34.6042590608527,-58.3702614803768 -34.6042566238203,-58.3702574353155 -34.6042547272981,-58.3702531196444 -34.604253551888,-58.3702485332635 -34.6042531877544,-58.3702439459832 -34.6042536351017,-58.3702395377771 -34.6042548039017,-58.3702355783559 -34.6042567845235,-58.3702321579561 -34.6042593065414,-58.3702295462884 -34.6042624603247,-58.3702277437526 -34.6042658852151,-58.3702228268882 -34.6043202507688,-58.3702217733103 -34.6043782258356,-58.3701730845149 -34.6050564974902,-58.3701762322668 -34.6051376480458,-58.3701995759625 -34.6052549699292,-58.3702009232321 -34.6052565939139,-58.3702021811638 -34.6052576768431,-58.3702037092093 -34.6052584894832,-58.3702054173306 -34.6052591219305,-58.3702072157899 -34.6052593937877,-58.370209104587 -34.6052593050549,-58.3702109037461 -34.6052589457602,-58.3702125233292 -34.6052583158354,-58.3702139634361 -34.6052573251161,-58.3702152237671 -34.6052562440959,-58.3702160347082 -34.6052548922411,-58.3702167697063 -34.6052409172807,-58.3702632358704 -34.6043768146198)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","ALEM, LEANDRO N., AV.  E/ PERON, JUAN DOMINGO, TTE. GRL. Y SARMIENTO","","","","","","","SAN NICOLAS",1,"","","","",257,460.118,9990,"","","","",NA,"",""
"4","MULTIPOLYGON (((-58.3703285220268 -34.6040593041829,-58.3703762172079 -34.6032207188392,-58.3703619180205 -34.6032201670309,-58.3703132334925 -34.6040586614553,-58.3703285220268 -34.6040593041829)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","ALEM, LEANDRO N., AV.  E/ SARMIENTO Y CORRIENTES, AV.","","","","","","","SAN NICOLAS",1,"","","","",258,126.522,10,"","","","",NA,"",""
"5","MULTIPOLYGON (((-58.3704009225354 -34.6028387098548,-58.3704557122109 -34.6020081543336,-58.3704415029658 -34.602007782932,-58.3703858142945 -34.6028378869434,-58.3704009225354 -34.6028387098548)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","ALEM, LEANDRO N., AV.  E/ CORRIENTES, AV. Y LAVALLE","","","","","","","SAN NICOLAS",1,"","","","",259,124.189,9990,"","","","",NA,"",""
"6","MULTIPOLYGON (((-58.3705954909277 -34.6006047563878,-58.3705955795667 -34.6006059285958,-58.3705959380045 -34.6006071010075,-58.3705965663406 -34.6006081834581,-58.3705974645752 -34.6006091759478,-58.3705986328077 -34.6006099883119,-58.3705998912718 -34.60061053025,-58.3706013298009 -34.6006108919945,-58.3706027686285 -34.6006109832452,-58.3706042976877 -34.6006108040699,-58.3706056471796 -34.6006103542649,-58.3706069069376 -34.6006097240628,-58.3706079870287 -34.6006089133957,-58.3706087976195 -34.6006078320311,-58.3706093384114 -34.6006067504629,-58.3706096096036 -34.6006054883618,-58.3708581708409 -34.5996374870877,-58.3708588016545 -34.5996363154212,-58.3708590738322 -34.599634151673,-58.3708588954571 -34.599632799068,-58.3708583573545 -34.5996314461923,-58.3708573694932 -34.5996301831428,-58.3708562014703 -34.5996291904518,-58.3708547634533 -34.599628377887,-58.3708532352067 -34.5996278357484,-58.3708515267986 -34.5996275639683,-58.3708498180927 -34.5996275626822,-58.3708481089897 -34.5996279220545,-58.3708465794527 -34.5996285520561,-58.370845229581 -34.5996293625224,-58.3708440592752 -34.599630443618,-58.3708432484984 -34.5996317053137,-58.37084279735 -34.5996330574447,-58.3708426158979 -34.5996344999436,-58.3708431531069 -34.5996366643011,-58.3705954909277 -34.6006047563878)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","ALEM, LEANDRO N., AV.  E/ TUCUMAN Y VIAMONTE","","","","","","","SAN NICOLAS",1,"","","","",260,147.459,0,"","","","",NA,"",""
"7","MULTIPOLYGON (((-58.3699127700689 -34.6054917048009,-58.3698914751393 -34.6057158378601,-58.3698844756378 -34.6057825543559,-58.3698791924832 -34.6058425098098,-58.3698687236152 -34.6059556584428,-58.369864994484 -34.6059930739221,-58.3698623633804 -34.6060136294531,-58.3698528879102 -34.6061230820881,-58.3698479010243 -34.6061592343042,-58.3698385704638 -34.6062192768369,-58.3698242080209 -34.6062750778014,-58.3698142815919 -34.6063048245675,-58.3697948881495 -34.6063555724792,-58.3697836176346 -34.6063808099884,-58.3697717203511 -34.6064035224099,-58.3697636992878 -34.6064183032969,-58.3697573912865 -34.6064292985745,-58.3697585551718 -34.6064340781855,-58.3697603503396 -34.606437325479,-58.3697645728623 -34.6064414762674,-58.3697701458803 -34.6064443657798,-58.3697765300594 -34.6064457231113,-58.3697830960255 -34.6064453674533,-58.3697891242644 -34.6064432982579,-58.3697926343048 -34.60644113698,-58.3698003853467 -34.6064265362148,-58.3698119277888 -34.6063994054545,-58.3698663020789 -34.6061919780615,-58.369890628986 -34.6060721677935,-58.3698981286172 -34.6060409765403,-58.3699032021028 -34.6060077998198,-58.3699048665387 -34.6059668663489,-58.3699069546882 -34.6059492858364,-58.3699423463047 -34.6055038093489,-58.3699429879036 -34.6054929900816,-58.3699127700689 -34.6054917048009)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","ALEM, LEANDRO N., AV.  E/ MITRE, BARTOLOME Y PERON, JUAN DOMINGO, TTE. GRL.","","","","","","","SAN NICOLAS",1,"","","","",261,309.313,9990,"","","","",NA,"",""
"8","MULTIPOLYGON (((-58.3699509155389 -34.6050767961818,-58.3699434261463 -34.6051797584971,-58.3699418817622 -34.6051936426761,-58.3699425977562 -34.6051967989825,-58.3699445727805 -34.6052000464106,-58.3699466393469 -34.6052018512742,-58.3699489761282 -34.6052032956846,-58.3699516731624 -34.6052042895457,-58.3699545505737 -34.6052048327208,-58.3699575185244 -34.6052048349767,-58.3699618366463 -34.6052038464479,-58.3699649878808 -34.6052007832456,-58.3699680513823 -34.6051957363547,-58.3699727550137 -34.6051715758085,-58.369996610836 -34.605070609549,-58.3700212504137 -34.6049117581835,-58.3700594695509 -34.6043487992047,-58.3700592031444 -34.6043457334046,-58.3700573193745 -34.6043413139068,-58.3700539058753 -34.6043376145646,-58.3700509400584 -34.6043357188551,-58.3700476138929 -34.6043343638598,-58.3700439273788 -34.6043335495786,-58.3700401501266 -34.6043334565455,-58.3700364621102 -34.6043339947326,-58.3700329532666 -34.6043351642082,-58.3700298034697 -34.6043369651088,-58.3700271927936 -34.604339217242,-58.3700252112754 -34.6043418305116,-58.3700239488523 -34.604344804986,-58.3700235874015 -34.6043463375104,-58.3700212219936 -34.6043706801672,-58.3699831910932 -34.6047640395959,-58.3699621811915 -34.6049748285454,-58.3699509155389 -34.6050767961818)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","ALEM, LEANDRO N., AV.  E/ PERON, JUAN DOMINGO, TTE. GRL. Y SARMIENTO","","","","","","","SAN NICOLAS",1,"","","","",262,383.348,10,"","","","",NA,"",""
"9","MULTIPOLYGON (((-58.370016689969 -34.6040785432765,-58.3701242967333 -34.6032299050885,-58.3701114372189 -34.6032287231906,-58.3700027511853 -34.6040772703827,-58.370016689969 -34.6040785432765)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","ALEM, LEANDRO N., AV.  E/ SARMIENTO Y CORRIENTES, AV.","","","","","","","SAN NICOLAS",1,"","","","",263,117.05,0,"","","","",NA,"",""
"10","MULTIPOLYGON (((-58.3702683826373 -34.6020044961491,-58.3702569619612 -34.6020035858504,-58.3701570103647 -34.6028452874556,-58.3701656620608 -34.602829154542,-58.3701727868532 -34.6028112171766,-58.3701775738247 -34.6027928272147,-58.3701800228768 -34.6027740748212,-58.3702683826373 -34.6020044961491)))","","SIN NOMBRE","CANTERO CENTRAL","NO","","ESPACIOS VERDES","USIG","USIG","ALEM, LEANDRO N., AV.  E/ CORRIENTES, AV. Y LAVALLE","","","","","","","SAN NICOLAS",1,"","","","",264,109.621,0,"","","","",NA,"",""
