"","WKT","id","codigo","nomoficial","alt_izqini","alt_izqfin","alt_derini","alt_derfin","nomanter","nom_mapa","tipo_c","long","sentido","cod_sent","observa","bicisenda","lado_ciclo","recorrid_x","ciclo_obse","tooltip_bi","red_jerarq","red_tp","ffcc","tipo_ffcc","comuna","com_par","com_impar","barrio","barrio_par","barrio_imp"
"915","LINESTRING (-58.3667388080788 -34.6156239348096,-58.3660032503701 -34.6155708145236)",13187,5104,"EYLE, PETRONA",2,50,1,49,"","PETRONA EYLE","AVENIDA",67.72,"CRECIENTE",1,"Denominación según Ley 1438 en B.O. 2037 del 1/10/2004 // Asignación de Sentido de Circulación de E a O según Resolución  N.° 852/SSTRANS/14 aparecida en el Boletín Oficial 4549 del 29/12/2014 - Confirmación según Ley Nº 5406 en B.O. 4801 del 15/1/2016","-","","","","","VÍA LOCAL","","SI","Paso a Nivel",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"916","LINESTRING (-58.3612047621131 -34.6147461786938,-58.3610610559839 -34.6160726945703)",13350,1073,"PAINE, AIME",1502,1600,1501,1599,"","AIME PAINE","CALLE",147.75,"DOBLE",2,"corrección numeración 29-1","-","","","","","VÍA LOCAL","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"917","LINESTRING (-58.3618959290339 -34.6161316315399,-58.3610610559839 -34.6160726945703)",13362,5105,"EZCURRA, ENCARNACION",402,500,401,499,"","ENCARNACION EZCURRA","CALLE",76.85,"CRECIENTE",1,"Denominación según Ley 1438 en B.O. 2037 del 1/10/2004 // Asignación de Sentido de Circulación de O a E según Resolución  N.° 852/SSTRANS/14 aparecida en el Boletín Oficial 4549 del 29/12/2014 - Confirmación según Ley Nº 5406 en B.O. 4801 del 15/1/2016","-","","","","","VÍA LOCAL","","","",1,1,1,"PUERTO MADERO","PUERTO MADERO","PUERTO MADERO"
"918","LINESTRING (-58.3701009906641 -34.6165977589327,-58.3702746686521 -34.6166043000222)",13481,20041,"SAN LORENZO",292,300,291,299,"","SAN LORENZO","CALLE",15.95,"DOBLE",2,"corrección numeración 21-1","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"919","LINESTRING (-58.3702513077412 -34.6158599067762,-58.3702746686521 -34.6166043000222)",13482,2014,"BALCARCE",702,750,701,749,"","BALCARCE","CALLE",82.61,"CRECIENTE",1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"920","LINESTRING (-58.3717181969878 -34.6160242582574,-58.3717134291944 -34.6160996781521,-58.3716913502741 -34.61665790793)",13498,4016,"DEFENSA",706,756,705,751,"","DEFENSA","CALLE",70.34,"DECRECIENTE",-1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"921","LINESTRING (-58.3665965504383 -34.6168777812925,-58.3672290567423 -34.616924971748,-58.367433149312 -34.616927878814)",13569,9010,"INDEPENDENCIA AV.",2,100,1,99,"","AV. INDEPENDENCIA","AVENIDA",76.97,"CRECIENTE",1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"922","LINESTRING (-58.3731316007411 -34.6160287618583,-58.3731275026515 -34.6161162247077,-58.3730867675185 -34.6171569116857)",13630,2092,"BOLIVAR",702,800,701,799,"","BOLIVAR","CALLE",125.22,"CRECIENTE",1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"923","LINESTRING (-58.3694173924017 -34.6171200485521,-58.3698017083908 -34.6171645791492)",13633,9010,"INDEPENDENCIA AV.",202,300,201,299,"","AV. INDEPENDENCIA","AVENIDA",35.59,"CRECIENTE",1,"","Carriles Preferenciales","","","","Carril preferencial","VÍA DISTRIBUIDORA PRINCIPAL","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"924","LINESTRING (-58.3701009906641 -34.6165977589327,-58.3698784554967 -34.6171663985306)",13635,2014,"BALCARCE",752,800,751,799,"","BALCARCE","CALLE",66.3,"CRECIENTE",1,"","-","","","","","VÍA DISTRIBUIDORA COMPLEMENTARIA","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
"925","LINESTRING (-58.3716705626346 -34.617203532834,-58.3718706562808 -34.6172029787265,-58.3730867675185 -34.6171569116857)",13651,9010,"INDEPENDENCIA AV.",402,500,401,499,"","AV. INDEPENDENCIA","AVENIDA",130,"CRECIENTE",1,"","Carriles Preferenciales","","","","Carril preferencial","VÍA DISTRIBUIDORA PRINCIPAL","","","",1,1,1,"SAN TELMO","SAN TELMO","SAN TELMO"
